wall,epoch,loss,val_acc,ema_val_acc,seconds
08:21:12,1,1.7612,0.9845,0.9887,229
08:24:47,2,1.2609,0.9838,0.9922,215
08:28:24,3,1.2113,0.9894,0.9937,217
08:32:00,4,1.1465,0.9894,0.9922,215
08:35:35,5,1.0938,0.988,0.9937,215
08:39:09,6,1.0429,0.9894,0.9944,215
08:42:45,7,1.0379,0.9908,0.993,215
08:46:20,8,0.9879,0.988,0.9944,215
08:49:55,9,0.9542,0.9873,0.993,215
08:53:30,10,0.9842,0.9873,0.9922,215
08:57:05,11,0.9623,0.9922,0.9922,215
09:00:40,12,0.9618,0.9922,0.9922,215
09:04:15,13,0.8852,0.9922,0.9915,215
09:07:50,14,0.9034,0.9922,0.993,215
09:11:26,15,0.9199,0.993,0.993,215
09:15:01,16,0.8997,0.993,0.993,215
