wall,epoch,sup_loss,unsup_loss,mask_rate,pseudo_agree,val_acc,seconds
13:09:55,1,0.7077,0.1438,0.9065,0.9688,0.988,404
13:15:46,2,0.7311,0.1547,0.9556,0.9634,0.9922,350
13:21:39,3,0.7145,0.1352,0.9683,0.971,0.9859,349
13:27:26,4,0.6997,0.1276,0.9772,0.9734,0.9859,347
13:33:12,5,0.6828,0.1177,0.982,0.9745,0.9859,347
13:38:59,6,0.6772,0.1129,0.9848,0.977,0.9873,347
