wall,epoch,loss,val_acc,ema_val_acc,seconds
17:17:05,1,1.6319,0.9908,0.9901,375
17:23:08,2,1.088,0.9887,0.9915,363
17:29:13,3,1.0385,0.9937,0.9944,364
17:35:15,4,0.9948,0.9937,0.9937,362
17:41:17,5,0.9877,0.9922,0.9944,362
17:47:23,6,0.9838,0.9922,0.9951,365
17:53:25,7,0.9415,0.9915,0.9951,362
17:59:27,8,0.9542,0.9937,0.993,362
18:05:30,9,0.9429,0.9937,0.9937,363
18:11:33,10,0.9179,0.9937,0.9944,363
18:17:35,11,0.933,0.9944,0.993,362
18:23:38,12,0.9072,0.9937,0.993,363
18:29:40,13,0.8734,0.993,0.9944,363
18:35:43,14,0.8841,0.9922,0.9922,363
18:41:45,15,0.8931,0.993,0.993,363
18:47:48,16,0.8666,0.993,0.993,363
