saved,run_dir,backbone,stage,best_epoch,val_acc,image_size,epochs,ext_ratio,ext_source,sketch_prob,grayscale,train_on_all,val_leaked
2026-09-09 08:41,_archive\models\C_all_r35,vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,base,16,99.93,192,16,0.35,painting+inr_v1,0.0,0.0,True,YES
2026-09-09 08:41,_archive\models\C_all_r35,vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,pseudo1,16,99.93,192,16,0.35,painting+inr_v1,0.0,0.0,True,YES
2026-09-09 12:15,v9_large,convnext_large_mlp.clip_laion2b_augreg_ft_in1k,base,12,98.94,192,16,0.25,painting+inr_v1,0.0,0.0,False,
2026-09-09 12:15,v9_large,convnext_large_mlp.clip_laion2b_augreg_ft_in1k,pseudo1,15,98.87,192,16,0.25,painting+inr_v1,0.0,0.0,False,
2026-09-09 13:10,(root/latest),convnext_tiny.in12k_ft_in1k,base,9,97.89,192,16,0.25,painting+inr_v1,0.0,0.0,False,
2026-09-09 15:45,v10_distil,convnext_base.clip_laion2b_augreg_ft_in12k_in1k,pseudo1,7,98.38,192,16,0.25,painting+inr_v1,0.0,0.0,False,
2026-09-09 15:45,v10_distil,convnext_large_mlp.clip_laion2b_augreg_ft_in1k,pseudo1,13,98.87,192,16,0.25,painting+inr_v1,0.0,0.0,False,
2026-09-09 15:45,v10_distil,vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,pseudo1,7,98.38,192,16,0.25,painting+inr_v1,0.0,0.0,False,
2026-09-10 02:00,(root/latest),convnext_large_mlp.clip_laion2b_augreg_ft_in1k,base,16,99.01,192,16,0.25,painting+inr_v1_distil2,0.0,0.0,False,
2026-09-10 02:16,(root/latest),convnext_base.clip_laion2b_augreg_ft_in12k_in1k,base,7,98.38,192,16,0.25,painting+inr_v1_distil2,0.0,0.0,False,
2026-09-10 02:27,(root/latest),vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,base,16,98.59,192,16,0.25,painting+inr_v1_distil2,0.0,0.0,False,
2026-09-10 03:26,(root/latest),convnext_large_mlp.clip_laion2b_augreg_ft_in1k,pseudo1,11,99.08,192,16,0.25,painting+inr_v1_distil2,0.0,0.0,False,
2026-09-10 03:54,(root/latest),convnext_base.clip_laion2b_augreg_ft_in12k_in1k,pseudo1,4,98.03,192,16,0.25,painting+inr_v1_distil2,0.0,0.0,False,
2026-09-10 04:16,(root/latest),vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,pseudo1,6,98.17,192,16,0.25,painting+inr_v1_distil2,0.0,0.0,False,
2026-09-10 04:17,A_distil2,convnext_base.clip_laion2b_augreg_ft_in12k_in1k,pseudo1,4,98.03,192,16,0.25,painting+inr_v1_distil2,0.0,0.0,False,
2026-09-10 04:17,A_distil2,convnext_large_mlp.clip_laion2b_augreg_ft_in1k,pseudo1,11,99.08,192,16,0.25,painting+inr_v1_distil2,0.0,0.0,False,
2026-09-10 04:17,A_distil2,vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,pseudo1,6,98.17,192,16,0.25,painting+inr_v1_distil2,0.0,0.0,False,
2026-09-10 08:57,_root_cache_stepA,convnext_base.clip_laion2b_augreg_ft_in12k_in1k,base,7,98.38,192,16,0.25,painting+inr_v1_distil2,0.0,0.0,False,
2026-09-10 08:57,_root_cache_stepA,convnext_base.clip_laion2b_augreg_ft_in12k_in1k,pseudo1,4,98.03,192,16,0.25,painting+inr_v1_distil2,0.0,0.0,False,
2026-09-10 08:57,_root_cache_stepA,convnext_large_mlp.clip_laion2b_augreg_ft_in1k,base,16,99.01,192,16,0.25,painting+inr_v1_distil2,0.0,0.0,False,
2026-09-10 08:57,_root_cache_stepA,convnext_large_mlp.clip_laion2b_augreg_ft_in1k,pseudo1,11,99.08,192,16,0.25,painting+inr_v1_distil2,0.0,0.0,False,
